sp;eng
Siempre esta metido en su mundo blico y de juegos de rol;He is always involved in his world of books and role-playing games
No parece que tenga muchos amigos;Doesn't seem to have many friends
Ya me ha sido de suficiente ayuda;It's been helpful enough for me
¨Y qu hago con eso?;And what do I do with that?
Podr¡a servir como pelo, pero el color es muy claro;It could serve as hair, but the color is very light
¨Para qu me das esto?;Why are you giving me this?
­Perfecto! Usaremos esto para el disfraz;Perfect! We'll use this for the costume
¨Para qu me das esto?;Why are you giving me this?
­Muy bien! Esto servir  para el disfraz;All right! This will serve for the costume
¨Para qu me das esto?;Why are you giving me this?
­Oh si! Esto nos vendr  bien para el disfraz;Oh yeah! This will do us good for the costume
Oye, no me molestes;Don't bother me
Mmm. Se parece un poco a tu camiseta pero no lo suficiente;Hmm. Looks a little like your t-shirt but not enough
No me interrumpas. Estoy jugando;Don't interrupt me. I'm playing
No quiero eso;I don't want that 
Me est s desconcentrando;You are deconcentrating me
No me des tus trastos;Don't give me your junk
Djame. Estoy concentrado en el juego;Leave me alone. I'm focused on the game
­Vaya! ­Si tambin hay un 386!;Wow! If there is also a 386!
­Viva la educaci¢n p£blica!;Long live public education!
Mmmm, no;Mmmm... no. 
Despus de tener un Pentium en casa un 386 se me hace tortuga;After having a Pentium at home, a 386 feels like a turtle
àjala en el futuro hagan sillas de ordenador m s c¢modas y que sirvan para largas sesiones de juego;Hopefully in the future make computer chairs more fashionable and that they serve for long gaming sessions
Creo que ya tengo todo lo que necesito;I already have everything I need.
Voy a prepararme el disfraz y me presentar a tu examen;I'm going to prepare the costume and take your exam
­Ha estado chupado!;Piece of cake!
Disfrazado as¡, nadie se ha dado cuenta de que no eras t£;Disguised like you, no one has noticed
Salta a la vista;Who would say
­Tienes la asignatura aprobada!;You have approved the subject!
Emm...;Umm... 
Gracias;Thank you
­Genial! ­Ya he aprobado todo!;Great! I've already passed everything!
Casi que me voy de aqu¡ antes de que esto se ponga raro;I'm almost out of here before this gets weird!
­Vamos!;Come on!
­Morid malditos!;Die damned!
Odio a todos mis enemigos;I hate all my enemies
Os odio tanto como a mis compa¤eros de clase;I hate you as much as I hate my classmates
Y odio a los profesores...;And I hate teachers...
Y odio a aquella chica que me llam¢ raro;And I hate that girl who called me weird
Un dia voy a llevar un fusil al instituto y voy a...;One day I'm going to take a rifle to school and I'm going to...
Pero sobretodo odio Windows;But most of all I hate Windows
